"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","  0.9497326","0",10,"V42"
"HDDM_W","  0.9518717","1",10,"V42"
"KSWIN","  0.9518717","1",10,"V42"
"PageHinkley","  0.9497326","0",10,"V42"
"DDM","  0.9502674","2",10,"V42"
"EDDM","  0.9513369","2",10,"V42"
"PDD","  0.9497326","2",10,"V42"
"Base Test","  0.9882353","0",10,"V42"
"Base Train","  0.9985185","0",10,"V42"
"batch sizes","675.0000000","169",10,"V42"
"HDDM_A","  0.9427184","1",20,"V61"
"HDDM_W","  0.9427184","1",20,"V61"
"KSWIN","  0.9382855","4",20,"V61"
"PageHinkley","  0.9421690","0",20,"V61"
"DDM","  0.9417476","2",20,"V61"
"EDDM","  0.9441107","3",20,"V61"
"PDD","  0.9421690","0",20,"V61"
"Base Test","  0.9805825","0",20,"V61"
"Base Train","  1.0000000","0",20,"V61"
"batch sizes","404.0000000","102",20,"V61"
"HDDM_A","  0.9373874","0",30,"V61"
"HDDM_W","  0.9400901","1",30,"V61"
"KSWIN","  0.9436937","3",30,"V61"
"PageHinkley","  0.9373874","0",30,"V61"
"DDM","  0.9436937","3",30,"V61"
"EDDM","  0.9436937","3",30,"V61"
"PDD","  0.9454955","12",30,"V61"
"Base Test","  1.0000000","0",30,"V61"
"Base Train","  1.0000000","0",30,"V61"
"batch sizes","289.0000000","73",30,"V61"
